REGION;DEPARTEMENT;NOM DU MUSEE;REF MUSEE;ADR;CP;VILLE;TELEPHONE1;FAX;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES;DATE APPELLATION;Date retrait appellation par Haut Conseil;coordonnees_finales;coordonnees_ban;coordonnees_cp
OCCITANIE;GARD;Musée du Vieux Nîmes;3018904;Place aux Herbes;30000;NIMES;0466767370;0466767371;www.nimes.fr/index.php?id=283;1er janvier, 1er mai, 1er novembre et 25 décembre;Ouvert du mardi au dimanche de 10h à 18h;Jeudis en juillet-août;01/02/2003;;43.838287, 4.359586;43.838287, 4.359586;43.8446783278, 4.34763990758
OCCITANIE;AVEYRON;Musée des Arts et Métiers Traditionnels;1225401;;12330;SALLES-LA-SOURCE;0565672896;0565672896;www.musees-aveyron.fr;De novembre à mars;"Ouvert en avril et octobre les  mercredi , jeudi et dimanche de 14h à 18h, mai/juin/septembre du mercredi au lundi de 14h à 18h, juillet-août du mardi au vendredi de 10h à 12h30 et de 13h30 à 18h30, les samedi, dimanche et lundi de 13h30 à 18h30
Visites";;01/02/2003;;44.43517, 2.512522;44.43517, 2.512522;44.4669223048, 2.48171518474
OCCITANIE;GARD;Musée-Bibliothèque Pierre-André Benoît;3000701;"Rue de Brouzen
Pôle culturel de Rochebelle";30100;ALES;0466869869;0466342051;site de la ville - www.ville-ales.fr;1ère quinzaine de février, 1er novembre, 25 décembre, 1er janvier, 1er mai, 14 juillet, jeudi de l'Ascension;Ouvert du lundi au dimanche de septembre à juin de 14h à 18h et de 11h à 18h lors des expositions estivales;;01/02/2003;;44.1254083661, 4.08875764258;;44.1254083661, 4.08875764258
OCCITANIE;GARD;Musée de la Maison Romane;3025801;"Place de la Maison Romane
B.P. 77";30800;SAINT-GILLES-DU-GARD;0466874042;0466877819;http://saint-gilles.fr/musee-de-la-maison-romane;Janvier, jours fériés, le 24 et 31 décembre;Ouvert d'avril à octobre du mercredi au vendredi de 10h30 à 12h30 et de 14h à 16h, de novembre à mars du mercredi au vendredi de 14h à 16h;;01/02/2003;;43.657925014, 4.40745034656;;43.657925014, 4.40745034656
OCCITANIE;GERS;Musée d'Archéologie;3220801;"Place du Général de Gaulle
Hôtel de Ville";32700;LECTOURE;0562687022;0562689160;site du département : www.gers-gascogne.com;Jours fériés;"Ouvert du 1er mars au 30 septembre de 10h à 12h et de 14h à 18h.
Du 1er octobre au 28 février de 10h à 12h et de 14h à 18h";;01/02/2003;;43.9633958924, 0.606892628428;;43.9633958924, 0.606892628428
OCCITANIE;HAUTE-GARONNE;Musée du Vieux Toulouse;3155506;"Hôtel Dumay
7, Rue du May";31000;TOULOUSE;0562271150;0562275088;htt://toulousainsdetoulouse.fr;Jours fériés;Ouvert de mi-avril à mi-novembre du lundi au samedi de 14h à 18h. Ouvert toute l'année sur rendez-vous pour les groupes.;;01/02/2003;;43.5959709582, 1.43229378001;;43.5959709582, 1.43229378001
OCCITANIE;GERS;Musée Archéologique;3211901;Place de la République;32180;EAUZE;0562097138;0562097920;site du département : www.gers-gascogne.com ou site de la mairie;Janvier,  1er week-end de juillet;Ouvert du 1er mars au 30 juin et du 1er septembre au 30 novembre tous les jours de 10h à 12h et de 14h à 18h, du 1er juillet au 31 août tous les jours de 10h à 19h. En décembre et février sur réservation pour les groupes;;01/02/2003;;;;
PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;Musée des Alpilles;1310001;1, Place Favier;13210;SAINT-REMY-DE-PROVENCE;0490926824;0490266842;www.musees-mediterannee.org;1er janvier, 1er mai, 25 décembre;Ouvert d'octobre à avril du mardi au samedi  de 13h à 17h30 , de mai à septembre du mardi au dimanche  de 10h à 18h;Tous les mardis de l'été de 19h à 22h;01/02/2003;;43.789218, 4.831075;43.789218, 4.831075;43.7834120884, 4.85311859996
PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;Musée Jean Garcin 39-45 : L'appel de la Liberté;8413902;Chemin du Gouffre;84800;FONTAINE-DE-VAUCLUSE;0490202400;0490205835;www.vaucluse.fr;1er mai, 25 décembre;Ouvert du mercredi au lundi d'avril à mai de 10h à 12h et de 14h à 18h, de juin à septembre de 10h à 18h, du 1er au 15 octobre de 10h à 12h et de 14h à 18h et du 16 au 31 octobre et vacances de Toussaint de 10h à 12h et de 14h à 17h, les samedis et dimanc;;21/03/2011;;43.922514, 5.12753;43.922514, 5.12753;43.9157193663, 5.08616198697
PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;Musée de l'Empéri de Salon et de la Crau;1310301;Montée du Puech;13300;SALON-DE-PROVENCE;0490447280;0490569084;www.salondeprovence.fr;Certains jours fériés;Ouvert du mardi au dimanche du 16 avril au 30 septembre de 9h30 à 12h et de 14h à 18h et du 1er octobre au 15 avril de 13h30 à 18h;;01/02/2003;;43.639115, 5.097941;43.639115, 5.097941;43.6464319995, 5.06800446267
PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;Musée d'Art Contemporain - Galeries Contemporaines;1320691;69, Bd d'Haïfa;13008;MARSEILLE;0491250107;0491721727;www.mairie-marseille.fr/vivre/culture/musees.htm;1er janvier, 1er mai, 1er novembre, 25, 26 décembre, lundi de Pâques, lundi de Pentecôte;Ouvert du mardi au dimanche de 10h à 18h;;01/02/2003;;43.250369, 5.389348;43.250369, 5.389348;43.2388428582, 5.37571442554
PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;Musée Municipal d'Archéologie;8400301;14, Place du Postel;84400;APT;0490749530;0490045248;Site OT de la ville;Vacances de Noël et Janvier;Ouvert en juillet-août du lundi au samedi de 10h à 12h et de 14h à 17h30, le reste de l'année du mardi au samedi de 10h à 12h et de 14h à 18h30;;01/02/2003;;43.875736, 5.397687;43.875736, 5.397687;43.9044100699, 5.43397082996
PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;Musée Sobirats;8403105;112, Rue du Collège;84200;CARPENTRAS;0490630492;0490631911;Site de la ville;Du 1er octobre au 30 mars et jours fériés;Ouvert du 1er avril au 30 septembre du mercredi au lundi de 10h à 12h et de 14h à 18h;;01/02/2003;;44.054477, 5.046269;44.054477, 5.046269;44.059163985, 5.06111954826
PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;Musée Municipal;8408701;Rue Madeleine Roch;84100;ORANGE;0490511760;0490517470;www.theatre-antique.com;;Ouvert en janvier, février, novembre, décembre de 9h30 et 16h30, mars, octobre de 9h30 à 17h30, avril, mai, septembre de 9h à 18h, de juin à août de 9h à 19h;;01/02/2003;;44.135887, 4.807526;44.135887, 4.807526;44.1461192195, 4.80873017728
PROVENCE-ALPES-CÔTE D'AZUR;VAUCLUSE;Musée Municipal Camille Pautet;8407201;27, Rue St-Nazaire;84380;MAZAN;0490697501;0490697501;Sie de la ville : http://www.mazan.fr;;Fermé en 2016 pour travaux de rénovation;;01/02/2003;;44.056725, 5.127889;44.056725, 5.127889;44.0546411314, 5.13024969029
PROVENCE-ALPES-CÔTE D'AZUR;VAR;Musée Archéologique Municipal;8306101;"Salle du Vieux Fréjus
Place Calvini";83600;FREJUS;0494521578;0494538501;www.frejus.fr/Musee_Archeologique__155.html;Jours fériés;Ouvert du 15 avril au 14 octobre du mardi au dimanche de 9h30 à 12h30 et de 14h à 18h, du 15 octobre au 14 avril du mardi au dimanche de 9h30 à 12h30 et de 14h à 17h;;01/02/2003;;43.4958707206, 6.756116629;;43.4958707206, 6.756116629
PROVENCE-ALPES-CÔTE D'AZUR;HAUTES-ALPES;Musée du Vieux Queyras;0500301;;05470;AIGUILLES;;;http://museum.cg05.fr/3939-musee-du-vieux-queyras.htm;;;;01/02/2003;;44.781093, 6.868448;44.781093, 6.868448;44.7798321514, 6.87506488271
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Musée Jules-Desbois;4923401;1, Place Jules-Desbois;49390;PARCAY-LES-PINS;0241822880;0241598203;www.musee-julesdesbois.fr ou www.damm49.fr;3 novembre au 1er avril;Ouvert du 2 au 17 avril du mardi au dimanche de 14h0 à 18h, du 18 avril au 18 juin week-ends et jours fériés de 14h30 à 18h, du 18 juin au 18 septembre du mardi au dimanche de 10h30 à 12h30 et de 14h30 à 18h, du 19 septembre au 18 octobre week-ends et jou;;23/10/2002;;47.436645, 0.159784;47.436645, 0.159784;47.4059865072, 0.072262523742
PAYS DE LA LOIRE;VENDEE;Musée du Château;8516302;Place d'Armes;85330;NOIRMOUTIER-EN-L'ILE;0251391042;0251392455;Site de la ville - www.ville-noirmoutier.fr;Décembre et janvier;Ouvert en 2012 du 11 février au 8 avril de 14h à 18h, du 9 avril au 8 mai de 11h à 18h, du 9 mai au 17 juin de 11h à 18h, du 18 juin au 18 septembre de 10h à 19h et du 19 septembre au 6 novembre de 13h à 18h;;01/02/2003;;46.999717, -2.243097;46.999717, -2.243097;47.0086741668, -2.26232713424
PAYS DE LA LOIRE;VENDEE;Musée Clemenceau et de Lattre-de-Tassigny;8515401;1, rue Plante-Choux;85390;MOUILLERON-EN-PAREDS;0251003149;0251003134;www.musee-deuxvictoires.fr - http://musee-clemenceau-delattre.fr/;les 1er mai, 25 décembre et 31 décembre;Ouvert du 15 avril au 15 octobre de 9h30 à 12h et de 14h à 18h et du 16 octobre au 14 avril de 10h à 12h et de 14h à 17h;;06/01/2002;;46.675283, -0.849535;46.675283, -0.849535;46.6728627352, -0.866891813869
PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;Musée du Chaume/Kerhinet/Parc Naturel Régional de Brière;4417501;Village de Kerhinet;44410;SAINT-LYPHARD;0240619524;;http://www.parc-naturel-briere.com/;1er janvier, 11 novembre, 24, 25 et 31 décembre;Ouvert d'avril à septembre du lundi au dimanche et sur réservation pour les groupes en dehors des périodes d'ouverture. D'avril à juin de 14h30 à 18h30 - de juillet à mi-septembre de 10h30 à 13h et de 14h30 à 18h30;;01/02/2003;;47.363743, -2.349306;47.363743, -2.349306;47.4324776311, -2.33169406972
PAYS DE LA LOIRE;MAYENNE;Musée de l'Ardoise et de la Géologie;5318801;"""Longchamp""";53800;RENAZE;0243064014;0243068250;http://geocities.com/musardoise;;Ouvert dimanche et jours fériés en mai, juin, septembre, octobre, du mercredi au dimanche et jours fériés en juillet-août de 14h à 17h30. Pour les groupes toute l'année sur réservation;;01/02/2003;;47.793467, -1.041358;47.793467, -1.041358;47.8127039941, -1.05346118825
PAYS DE LA LOIRE;VENDEE;Musée Municipal;8519101;Rue Jean Jaurès;85000;LA ROCHE-SUR-YON;0251474835;0251474599;site de la ville;;Ouvert du mardi au samedi de 13h à 18h. Visites commentées et accueil des groupes du mardi au vendredi de 9h à 12 h et de 13 h à 17 h (sur Rendez-vous);;01/02/2003;;46.669421, -1.428889;46.669421, -1.428889;46.6755378751, -1.41824284991
PAYS DE LA LOIRE;SARTHE;Bibliothèque-musée;7226901;Rue Charles-Garnier;72120;SAINT-CALAIS;0243356303;0243631519;www.saint-calais.fr;;Ouvert le mercredi de 10h à 12h30 et de 15h à 18h30, premier samedi du mois de 10h à 12h30;;01/02/2003;;47.92073, 0.742885;47.92073, 0.742885;47.9301229484, 0.705617767756
PAYS DE LA LOIRE;VENDEE;Musée de la Construction Navale Artisanale;8516301;"Rue de l'Ecluse
Le Port";85330;NOIRMOUTIER EN L'ILE;0251392400;0251392455;Site Vendée-Tourisme;;;;01/02/2003;;47.0086741668, -2.26232713424;;47.0086741668, -2.26232713424
PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;Ecomusée de Saint-Nazaire;4418401;Avenue de Saint-Hubert;44613;SAINT-NAZAIRE;0251101206;0228549600;www.leportdetouslesvoyages.com ou www.saint-nazaire-tourisme.com;Janvier au 8 février;Ouvert en haute saison de 10h à 19h, en basse et moyenne saisons de 10h à 13h et de 14h à 18h;;01/02/2003;;;;
PAYS DE LA LOIRE;VENDEE;Musée du Nord de la Vendée;8514601;"Place de l'Hôtel de ville
B.P. 227";85602;MONTAIGU Cedex;0251092121;0251092160;www.ville-montaigu.fr;;Ouvert tous les jour du mercredi au lundi de 10h à 12h et 14h et 18h au mois de mai;;01/02/2003;;;;
ÎLE-DE-France;PARIS;Musée de l'Armée;7510701;"Hôtel National des Invalides
129, rue de Grenelle";75007;PARIS;0144423877;0144423764;/www.musee-armee.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert d'avril à octobre de 10h à 18h, de novembre à mars de 10h à 17h (17h30 pendant les vacances de Noël et de printemps). Du 15 juin au 15 septembre l'église du dôme reste ouverte jusqu'à 19h;Mardi jusqu'à 21h d'avril à septembre;06/01/2002;;48.8561051636, 2.31254406306;;48.8561051636, 2.31254406306
ÎLE-DE-France;HAUTS DE SEINE;Musée des Années Trente;9201201;"Espace Landowski
28, avenue André Morizet";92100;BOULOGNE-BILLANCOURT;0155184642;0155185158;www.annees30.com;1er janvier, 1er mai, 25 décembre;Ouvert du mardi au dimanche de 11h à 18h;;01/02/2003;;48.8364966292, 2.23867632216;;48.8364966292, 2.23867632216
HAUTS-DE-France;PAS-DE-CALAIS;Louvre-Lens;6249801;"Rue Paul Bert
B.P. 11";62301;LENS;;;www.louvrelens.fr;1er mai;Ouvert du mercredi au lundi de 10h à 18h;Ouvert jusqu'à 22h le premier vendredi de chaque mois de septembre à juin;;;;;
ÎLE-DE-France;PARIS;Musée National Jean-Jacques Henner;7511701;43, Avenue de Villiers;75017;PARIS;0147636437;0143800082;http://www.musee-henner.fr/;1er janvier, 1er mai, dimanche et lundi de Pentecôte, 14 juillet, 15 août, Noël;Ouvert du mercredi au dimanche de 11h à 18h;Nocturne jusqu'à 21h le deuxième jeudi de chaque mois.;06/01/2002;;48.883045, 2.307689;48.883045, 2.307689;48.8872660268, 2.30686780021
ÎLE-DE-France;SEINE ET MARNE;Musée Municipal de Chelles Alfred Bonno;7710801;Place de la République;77500;CHELLES;0164726580;0164728520;www.chelles.fr/Culture/Musee-Alfred-Bonno;Août et congés de Noël;Ouvert jusqu'au 31 août 2016 le mercredi de 10h à 12H et de 14h à 18h, et le dimanche de 14h à 17h depuis le 1er septembre 2016 ouvert le mercredi de 14h à 18h et le 3ème dimanche du mois avec atelier de 15h à 18h;;01/02/2003;;48.877773, 2.591799;48.877773, 2.591799;48.8836002438, 2.59608427563
ÎLE-DE-France;PARIS;Musée Yves Saint Laurent;7511619;5, Avenue Marceau;75116;PARIS Cedex 16;0144316400;;https://museeyslparis.com/;1er janvier, 1er mai et 25 décembre;Ouvert du mardi au dimanche de 11h à 18h, nocturne le vendredi jusqu’à 21h;Vendredi jusqu'à 21h;10/07/2017;;48.867895, 2.298877;48.867895, 2.298877;48.8603821025, 2.26201220212
ÎLE-DE-France;PARIS;Musée National du Moyen Age-Thermes de Cluny;7510501;6, Place Paul Painlevé;75005;PARIS;0153737800;0143258527;www.musee-moyenage.fr;1er janvier, 1er mai et 25 décembre;Ouvert du mercredi au lundi de 9h15 à 17h45;;06/01/2002;;48.850325, 2.343921;48.850325, 2.343921;48.844407753, 2.350655453
ÎLE-DE-France;PARIS;Musée National Picasso;7510305;"Hôtel Salé
5, Rue de Thorigny";75003;PARIS;0185560036;0148047546;www.musee-picasso.fr;1er janvier 1er mai et 25 décembre;"Ouvert du mardi au vendredi de 11h30 à 18h, samedi et dimanche de 9h30 à 18h, jours fériés (sauf lundis) de 9h30 à 18h
En période de vacances scolaires (zone C), le Musée est ouvert du mardi au dimanche de 9h30 à 18h00";;06/01/2002;;48.8630306677, 2.35966713643;;48.8630306677, 2.35966713643
ÎLE-DE-France;PARIS;L'Adresse Musée de la Poste;7511504;34, Boulevard de Vaugirard;75731;PARIS Cedex 15;0142792336;0142792400;www.ladressemuseedelaposte.fr ou www.museedelaposte.fr;Jours fériés;Ouvert du lundi au samedi de 10h à 18h et le premier jeudi jusqu'à 20h;Premier jeudi du mois jusqu'à 20h;06/01/2002;;;;
ÎLE-DE-France;PARIS;Musée du Service de Santé des Armées du Val-de-Grâce;7510516;1, Place Alphonse Laveran;75230;PARIS Cedex 05;0140515192;0140515193;www.valdegrace.org;;Ouvert de mardi au jeudi et samedi, dimanche de 12 h à 18 h;;13/12/2006;;;;
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Musée Jean Lurcat et de la Tapisserie Contemporaine;4900703;4, Bd Arago;49100;ANGERS;0241241845;0241053839;Site de la ville;1er janvier, 1er mai, 1er et 11 novembre et 25 décembre;"Ouvert du 2 janvier au 30 avril et du 22 septembre au 31 décembre : du mardi au dimanche de 10h à 12h et de 14h à 18h
Du 2 mai au 20 septembre 2015 : tous les jours et de 10h à 18h";Nocturnes événementielles;01/02/2003;;47.477759, -0.557052;47.477759, -0.557052;47.4764503449, -0.55599583518
PROVENCE-ALPES-CÔTE D'AZUR;ALPES DE HAUTE PROVENCE;Musée de la Faïence;0413501;Rue du Seigneur de la Clue;04360;MOUSTIERS-SAINTE-MARIE;0492746164;0492746223;http://www.moustiers.eu/Musee-de-la-faience;1er Janvier au 5 février;Ouvert d'avril à juin et septembre à octobre de 10h à 12h30 et de 14h à 17h, et de septembre à octobre de 10h à 12h30 et de 14h à 18h, en novembre, décembre, février, mars  weekend et vacances scolaires zone B de 10h à 12h30 et 14h à 17h, en  juillet/août;;01/02/2003;;43.845611, 6.221352;43.845611, 6.221352;43.8382123386, 6.22822943235
PAYS DE LA LOIRE;VENDEE;Centre Minier de Faymoreau;8508701;"""La Cour""";85240;FAYMOREAU;0251004848;0251005096;www.centreminier-vendee.fr;Janvier, 24 et 31 décembre;Ouvert en février-juin et septembre du mercredi au dimanche de 14h à 18h30, en juillet-août tous les jours de 10h à 19h;Tous les jeudis en juillet et août de 21h à 0h30;01/02/2003;;46.555399, -0.630409;46.555399, -0.630409;46.4923970829, -0.670036032034
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Musée Joseph Denais;4902101;5, Place Notre-Dame;49250;BEAUFORT-EN-VALLEE;0241571316;0241797461;www.damm49.fr;3 novembre au 1er avril;Ouvert du 2 au 17 avril du mardi au dimanche de 14h0 à 18h, du 18 avril au 18 juin week-ends et jours fériés de 14h30 à 18h, du 18 juin au 18 septembre du mardi au dimanche de 10h30 à 12h30 et de 14h30 à 18h, du 19 septembre au 18 octobre week-ends et jou;;06/10/2002;;47.44022, -0.217749;47.44022, -0.217749;47.4313983805, -0.244193438131
PAYS DE LA LOIRE;MAYENNE;Musée Archéologique Départemental de Jublains;5312201;13, Rue de la Libération;53160;JUBLAINS;0243581320;0243041952;www.museedejublains.fr;15 décembre au 31 janvier;Ouvert d'octobre à fin avril de 9h30 à 12h30 et de 13h30 à 17h30 du jeudi au mardi, en mai, juin et septembre tous les jours de 9h à 12h30 et de 13h30 à 18h, en juillet-août de 9h à 18h tous les jours;;18/07/2002;;48.255526, -0.496863;48.255526, -0.496863;48.2445452823, -0.332223287872
PAYS DE LA LOIRE;VENDEE;Musée Milcendeau Jean-Yole;8528401;Le Bois Durand;85300;SOULLANS;0251938484;0251938484;www.musee-milcendeau.fr;1er novembre;Ouvert mars à juin du mercredi au dimanche de 14h à 18h, en juillet-août tous les jours de 11 à 13h et de 14 à 18h30 et le samedi de 14h à 18h30 en septembre et juin du mercredi au dimanche de 14h à 18h30;;12/12/2002;;46.778729, -1.906356;46.778729, -1.906356;46.8368087633, -1.89265677262
PAYS DE LA LOIRE;MAYENNE;Musée des Tisserands Mayennais;5300301;Place Billard de Veaux;53300;AMBRIERES-LES-VALLEES;0243049619;0243089738;Site de la ville;;Ouvert en juillet août de 14h30 à 18h30 du mardi au dimanche. Ouvert pour les groupes sur rendez-vous toute l'année;;01/02/2003;;48.403045, -0.630604;48.403045, -0.630604;48.4002685671, -0.643929114886
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Musée de la Vigne et du Vin d'Anjou;4929201;"Les Celliers de la Coudraye
Place des Vignerons";49750;SAINT LAMBERT-DU-LATTAY;0241784275;0241785964;www.musee-vigne-vin-anjou.fr;1er janvier au 31 mars et du 12 novembre au 31 décembre;Ouvert du 1er avril  au 30 juin et du 1er septembre au 11 novembre du mercredi au vendredi de 14h30 à 17h30 et  le week-end  et jour férié de 14h30 à 18h30. Du 1er juillet au 31 août tous les jours de 11h à 13h et de 15h à 19h. Toute l'année sur réservati;;17/06/2002;;47.2426647325, -0.667761115453;;47.2426647325, -0.667761115453
PAYS DE LA LOIRE;SARTHE;Musée Vert Véron-de-Forbonnais;7218199;204, Avenue Jean-jaurès;72100;LE MANS;0243473994;0243474861;site de la ville;;Ouvert du lundi au vendredi de 9h à 12h et de 14h à 18h, le dimanche de 14h à 18h;;01/02/2003;;47.986868, 0.208417;47.986868, 0.208417;47.9887754636, 0.199888551607
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Musée Pincé;4900702;32 bis rue Lenepveu;49100;ANGERS;0241053800;0241053839;Site de la ville;;;;01/02/2003;;47.471767, -0.551841;47.471767, -0.551841;47.4764503449, -0.55599583518
OCCITANIE;HERAULT;Musée Fabre;3417203;13, rue Montpellieret;34000;MONTPELLIER;0467148300;0467660920;www.museefabre.montpellier3m.fr;1er janvier, 1er mai, 1er & 11 novembre, 25 décembre;"Ouvert du mardi au dimanche de 10h à 18h (19h pendant exposition d'été) pour le bâtiment principal
l'Hôtel Cabrières-Sabatier d'Espeyran le mardi, samedi, dimanche de 14h à 17h et pendant les 16 semaines d'exposition estivale du mardi au dimanche de 14h";Mercredi jusqu'à 21h;06/01/2002;;43.61122, 3.880192;43.61122, 3.880192;43.613085594, 3.86919806969
PAYS DE LA LOIRE;MAINE-ET-LOIRE;Musée des Beaux-Arts;4900701;14, Rue du Musée;49100;ANGERS;0241053800;0241053839;www.angers.fr/mba;1er janvier, 1er mai, 1er et 11 novembre et 25 décembre;"Ouvert du 2 janvier au 30 avril et du 22 septembre au 31 décembre : du mardi au dimanche de 10 h à 18h
Du 2 mai au 20 septembre 2015 : tous les jours et de 10h à 18h";Nocturnes événementielles;06/01/2002;;47.469132, -0.554372;47.469132, -0.554372;47.4764503449, -0.55599583518
OCCITANIE;TARN;Musée Départemental du Textile;8111501;Rue de la Rive;81270;LA-BASTIDE-ROUAIROUX;0563980860;0563983614;http://musees-departementaux.tarn.fr;1er mai, 1er novembre, et du 24 décembre au 15 février;Ouvert du 16 février au 30 avril et du 2 novembre au 23 décembre de 14h à 17h, du 2 mai au 30 juin et du 1er septembre au 31 octobre de 14h à 18h, en juillet-août de 10h à 12h et de 14h à 18h30;;01/02/2003;;43.476809, 2.638421;43.476809, 2.638421;43.4832244347, 2.63608077298
OCCITANIE;TARN;Musée de l'Abbaye Saint-Michel;8109903;Place Saint-Michel;81600;GAILLAC;0563410381;0563575683;site de la ville;1er janvier, 1er mai, 1er novembre et 25 décembre;Ouvert du 1er avril au 30 juin + septembre tous les jours de 10h à 12h et de 14h à 18h, et du 1er juillet au 31 août tous les jours de 10h à 12h et de 14h à 18h et du 1er octobre au 31 mars du mercredi au dimanche de 10h à 12h et de 14h à 17h;;01/02/2003;;43.897879, 1.895779;43.897879, 1.895779;43.8810358363, 1.92998992714
PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;Musées du Parc Naturel Régional de Brière;4416801;177, Île de Fedrun;44720;SAINT-JOACHIM;0240916868;0240916058;http://www.parc-naturel-briere.com/;;Ouvert d'avril à septembre du lundi au dimanche et sur réservation pour les groupes en dehors des périodes d'ouverture. D'avril à juin de 14h30 à 18h30 - de juillet à mi-septembre de 10h30 à 13h et de 14h30 à 18h30;;01/02/2003;;47.375856, -2.211677;47.375856, -2.211677;47.3719152384, -2.24320653036
PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;Muséum d'Histoire Naturelle de Nantes;4410901;12, Rue Voltaire;44000;NANTES;0240992620;0251840191;http://museum.nantes.fr;Jours fériés;Ouvert du mercredi au lundi  de septembre à juin de 10h à 18h et en juillet-août tous les jours de 10h à 19h;;06/01/2002;;47.212387, -1.564651;47.212387, -1.564651;47.2321830557, -1.54780684906
OCCITANIE;HERAULT;Musée de Lodève - Hôtel du cardinal Fleury;3414201;"Hôtel du Cardinal de Fleury
Square Georges Auric";34700;LODEVE;0467888610;0467444833;www.museedelodeve.fr;1er Janvier, 1er Mai, 1er Novembre, 25 Décembre;Ouvert de juin à novembre du mardi au dimanche de 10h à 18h;Tous les mardis jusqu'à 22h du 6 juillet au 24 août;01/02/2003;;43.7450519373, 3.34675760594;;43.7450519373, 3.34675760594
OCCITANIE;PYRENEES ORIENTALES;Musée d'Art Moderne - Fonds Peskè;6605301;"Villa Pams
Route de Port-Vendres";66190;COLLIOURE;0468821019;0468821019;www.collioure.mobi/museedartmoderne/;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert tous les jours du 1er juin au 30 septembre de 10h à 12h et de 14h à 18h et du mercredi au lundi de 10h à 12h et de 14h à 18h du 1er octobre au 31 mai;;01/02/2003;;42.5131451113, 3.0728014531;;42.5131451113, 3.0728014531
PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;Maison de l'Eclusier/Parc Naturel Régional de Brière;4417601;"Rozé
Place des Eclusiers";44550;SAINT-MALO DE GUERSAC;0240916031;0240539115;http://www.parc-naturel-briere.com/;;Ouvert d'avril à septembre du lundi au dimanche et sur réservation pour les groupes en dehors des périodes d'ouverture. D'avril à juin de 14h30 à 18h30 - de juillet à mi-septembre de 10h30 à 13h et de 14h30 à 18h30;;01/02/2003;;47.3304711447, -2.15365906277;;47.3304711447, -2.15365906277
OCCITANIE;PYRENEES ORIENTALES;Musée départemental d'Art Moderne;6604902;"8, Bd Maréchal Joffre
B.P. 60413";66403;CERET Cedex;0468873192;0468873192;www.musee-ceret.com;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du 1er juillet au 30 septembre tous les jours de 10h à 19h, le reste de l'année de 10h à 17h. Ouverture exceptionnelle lundi de Pâques et lundi de Pentecôte;;01/02/2003;;;;
PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;Musée Picasso;0600401;Place Mariejol;06600;ANTIBES;0492905420;0492905421;www.antibes-juanlespins.com;1er janvier, le 1er mai, le 1er novembre et le 25 décembre;Ouvert du 16 septembre au 14 juin de 10h à 12h et de 14h à 18h, du  15 juin au 15 septembre de 10h à 18h. Nocturnes en juillet et août le mercredi et le vendredi jusqu’à 20h;mercredi et vendredi jusqu'à 20h en juillet-août;01/02/2003;;43.580993, 7.127959;43.580993, 7.127959;43.5876536208, 7.10542360834
PROVENCE-ALPES-CÔTE D'AZUR;ALPES-MARITIMES;Musée Renoir;0602702;Chemin des Collettes;06800;CAGNES-SUR-MER;0493206107;0492024739;www.cagnes-tourisme.com/renoir ou www.chez.com/renoir/cagnes.htm;1er janvier, 1er mai, 25 décembre et une semaine en décembre;Ouvert d'octobre à mars du mercredi au lundi de 10h à 12h et de 14h à 17h, d'avril à mai de 10h à 12h et de 14h à 18h, de juin à septembre de 10h à 13h et de 14h à 18h;;01/02/2003;;43.674267, 7.154969;43.674267, 7.154969;43.6717115004, 7.15221251149
PROVENCE-ALPES-CÔTE D'AZUR;BOUCHES DU RHONE;Musée du Pavillon de Vendôme;1300101;13, Rue de la Molle;13100;AIX-EN-PROVENCE;0442918875;0442918873;www.aixenprovence.fr/Pavillon-de-Vendome-465;1er mai, 25 décembre;Ouvert du 1er janvier au 14 avril du mercredi au lundi de 10h à 12h30 et de 13h30 à 17h et à partir du 15 avril du mercredi au lundi de 10h à 12h30 et de 13h30 à 18h;;01/02/2003;;43.531176, 5.442093;43.531176, 5.442093;43.5353485115, 5.4345381961
